id	users_total	messages_total	users_8	messages_8	users_8_cm	messages_8_cm	users_3	messages_3	users_3_cm	messages_3_cm	users_4	messages_4	users_4_cm	messages_4_cm	users_0	messages_0	users_0_cm	messages_0_cm	users_1	messages_1	users_1_cm	messages_1_cm	users_2	messages_2	users_2_cm	messages_2_cm	users_6	messages_6	users_6_cm	messages_6_cm	users_9	messages_9	users_9_cm	messages_9_cm	users_7	messages_7	users_7_cm	messages_7_cm	users_5	messages_5	users_5_cm	messages_5_cm
2014-11-23 00:00:00+00:00	4	17	4	13	4	13	3	4	3	4	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2014-12-07 00:00:00+00:00	6	26	5	15	9	28	0	0	3	4	1	1	3	3	2	2	3	4	1	3	2	4	2	2	3	3	2	2	3	3	1	1	2	2	0	0	1	1	0	0	1	1
2014-12-21 00:00:00+00:00	15	1323	15	1128	22	1156	12	63	15	67	9	39	12	42	7	15	9	19	8	26	10	30	7	11	10	14	6	14	8	17	8	15	10	17	5	12	6	13	0	0	1	1
2015-01-04 00:00:00+00:00	20	1426	20	1168	29	2324	14	71	19	138	12	69	17	111	9	24	13	43	7	21	11	51	11	19	15	33	5	11	11	28	7	16	13	33	10	26	12	39	1	1	2	2
2015-01-18 00:00:00+00:00	49	3688	47	3038	63	5362	26	147	33	285	20	170	28	281	21	57	27	100	19	76	23	127	18	71	26	104	16	55	22	83	13	42	17	75	10	24	16	63	6	8	7	10
2015-02-01 00:00:00+00:00	47	2603	47	2050	81	7412	26	140	44	425	17	105	33	386	20	56	35	156	13	81	24	208	15	72	30	176	11	63	24	146	8	15	18	90	9	21	17	84	0	0	7	10
2015-02-15 00:00:00+00:00	47	2161	47	1700	98	9112	25	84	51	509	16	218	37	604	17	29	40	185	9	24	25	232	13	45	33	221	7	29	24	175	10	15	21	105	8	17	18	101	0	0	7	10
2015-03-01 00:00:00+00:00	66	1868	64	1406	133	10518	31	140	72	649	19	110	51	714	24	81	56	266	15	56	35	288	12	18	41	239	7	10	29	185	12	25	31	130	11	20	26	121	1	2	8	12
2015-03-15 00:00:00+00:00	71	1754	69	1294	160	11812	35	87	86	736	24	149	61	863	24	53	66	319	18	35	44	323	16	42	50	281	24	62	48	247	12	20	34	150	6	10	29	131	2	2	10	14
2015-03-29 00:00:00+00:00	43	506	41	378	178	12190	9	27	89	763	9	54	64	917	10	14	73	333	7	8	45	331	4	15	53	296	5	5	50	252	1	1	34	151	4	4	30	135	0	0	10	14
2015-04-12 00:00:00+00:00	51	504	47	433	203	12623	11	15	95	778	10	20	69	937	7	7	76	340	4	6	47	337	7	16	57	312	1	1	50	253	2	2	34	153	3	4	31	139	0	0	10	14
2015-04-26 00:00:00+00:00	5	8	3	5	204	12628	0	0	95	778	0	0	69	937	2	3	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-10 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-24 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-07 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-21 00:00:00+00:00	28	162	24	129	225	12757	3	6	98	784	2	2	71	939	6	7	82	350	1	1	48	338	4	5	61	317	5	6	55	259	5	6	38	159	0	0	31	139	0	0	10	14
2015-07-05 00:00:00+00:00	372	3021	309	2161	509	14918	87	153	179	937	36	103	101	1042	87	138	166	488	31	70	78	408	26	50	82	367	54	194	104	453	33	45	67	204	12	13	42	152	30	94	38	108
2015-07-19 00:00:00+00:00	1024	10804	887	7847	1242	22765	282	531	432	1468	88	173	176	1215	226	507	359	995	108	186	177	594	102	189	178	556	193	693	280	1146	127	173	187	377	33	45	71	197	70	460	102	568
2015-08-02 00:00:00+00:00	1305	17051	1132	11231	1985	33996	431	988	768	2456	151	423	305	1638	329	938	619	1933	185	377	339	971	165	417	312	973	335	1940	544	3086	182	284	339	661	52	73	114	270	106	380	183	948
2015-08-16 00:00:00+00:00	1198	19643	1033	11628	2559	45624	410	1240	1040	3696	143	691	397	2329	334	1761	849	3694	191	469	474	1440	204	695	453	1668	352	2140	787	5226	142	245	441	906	51	136	158	406	101	638	248	1586
2015-08-30 00:00:00+00:00	1122	19173	956	9920	3016	55544	411	1852	1297	5548	124	536	471	2865	265	1165	1015	4859	208	953	609	2393	204	1010	591	2678	292	1370	985	6596	139	243	536	1149	46	1069	197	1475	90	1055	293	2641
2015-09-13 00:00:00+00:00	962	15985	772	7997	3374	63541	387	1564	1497	7112	124	464	545	3329	271	1361	1173	6220	161	522	700	2915	187	986	685	3664	263	1382	1136	7978	106	170	601	1319	41	1096	221	2571	81	443	339	3084
2015-09-27 00:00:00+00:00	783	11345	647	5489	3627	69030	292	1001	1634	8113	90	243	595	3572	214	1245	1294	7465	124	384	768	3299	135	702	744	4366	188	941	1240	8919	89	118	652	1437	19	697	235	3268	53	525	368	3609
2015-10-11 00:00:00+00:00	581	10774	474	5445	3765	74475	231	933	1727	9046	81	280	632	3852	144	930	1367	8395	116	350	828	3649	122	485	801	4851	144	800	1316	9719	68	308	691	1745	23	673	249	3941	45	570	389	4179
2015-10-25 00:00:00+00:00	686	18037	566	8447	4024	82922	370	1462	1943	10508	99	361	674	4213	219	1355	1511	9750	160	477	926	4126	170	736	905	5587	285	2700	1517	12419	71	137	732	1882	36	1386	272	5327	36	976	407	5155
2015-11-08 00:00:00+00:00	800	18885	647	8868	4372	91790	443	1583	2216	12091	110	319	737	4532	286	1503	1689	11253	188	702	1043	4828	185	743	1010	6330	400	3120	1797	15539	84	133	788	2015	39	1443	297	6770	38	471	419	5626
2015-11-22 00:00:00+00:00	937	29038	761	13333	4778	105123	542	2644	2554	14735	139	473	819	5005	332	2389	1916	13642	229	1089	1180	5917	258	1425	1173	7755	479	4745	2132	20284	100	170	855	2185	65	2560	343	9330	44	210	441	5836
2015-12-06 00:00:00+00:00	1261	40442	1044	17661	5365	122784	733	3726	3009	18461	200	702	937	5707	460	3327	2243	16969	315	1625	1379	7542	368	1881	1410	9636	638	6366	2571	26650	155	270	958	2455	70	3805	392	13135	74	1079	486	6915
2015-12-20 00:00:00+00:00	1491	46785	1220	19637	6015	142421	934	4587	3573	23048	209	671	1066	6378	511	3526	2570	20495	391	1681	1618	9223	443	1985	1673	11621	766	7924	3090	34574	155	360	1058	2815	81	4847	446	17982	65	1567	525	8482
2016-01-03 00:00:00+00:00	1375	41204	1118	17992	6525	160413	886	4485	4046	27533	180	756	1157	7134	429	2945	2831	23440	380	1762	1831	10985	426	1958	1908	13579	650	6056	3488	40630	130	240	1143	3055	80	4595	499	22577	49	415	555	8897
2016-01-17 00:00:00+00:00	1456	52319	1213	22397	7033	182810	976	5516	4540	33049	257	1486	1305	8620	503	3496	3119	26936	457	2074	2101	13059	491	2536	2164	16115	647	7239	3850	47869	160	319	1238	3374	110	5587	573	28164	70	1669	593	10566
2016-01-31 00:00:00+00:00	1275	35749	1057	15745	7436	198555	789	3912	4841	36961	232	1134	1409	9754	276	1426	3227	28362	405	1626	2310	14685	410	2088	2336	18203	378	2516	3998	50385	144	294	1321	3668	72	3617	612	31781	82	3391	632	13957
2016-02-14 00:00:00+00:00	1261	26507	1005	11938	7864	210493	784	3782	5203	40743	246	1119	1532	10873	208	839	3324	29201	410	1792	2510	16477	354	1649	2495	19852	250	727	4099	51112	121	289	1383	3957	47	2665	634	34446	92	1707	673	15664
2016-02-28 00:00:00+00:00	1746	35589	1336	15373	8572	225866	1287	6112	5987	46855	255	1233	1653	12106	210	713	3425	29914	609	2760	2911	19237	427	2461	2721	22313	232	606	4225	51718	135	232	1452	4189	89	4489	693	38935	79	1610	708	17274
2016-03-13 00:00:00+00:00	1841	45012	1469	22133	9298	247999	1328	6478	6727	53333	289	1719	1789	13825	251	1010	3551	30924	632	3139	3293	22376	468	2849	2947	25162	270	874	4357	52592	150	312	1533	4501	87	4980	748	43915	63	1518	729	18792
2016-03-27 00:00:00+00:00	1798	41528	1425	20049	9999	268048	1312	6298	7471	59631	312	1512	1954	15337	233	859	3667	31783	664	3414	3690	25790	437	2664	3172	27826	245	734	4474	53326	147	255	1619	4756	76	4830	801	48745	67	913	760	19705
2016-04-10 00:00:00+00:00	1765	38020	1384	18056	10633	286104	1224	5830	8082	65461	310	1373	2110	16710	257	1026	3805	32809	624	2904	4035	28694	460	2474	3404	30300	287	918	4621	54244	106	194	1681	4950	78	4301	846	53046	74	944	800	20649
2016-04-24 00:00:00+00:00	1759	37955	1351	18444	11291	304548	1213	5588	8724	71049	280	1671	2246	18381	223	1052	3922	33861	612	2785	4391	31479	408	2433	3596	32733	263	738	4750	54982	118	225	1746	5175	79	4220	892	57266	76	799	840	21448
