	users_total	messages_total	users_5	messages_5	users_7	messages_7	users_11	messages_11	users_1	messages_1	users_4	messages_4	users_0	messages_0	users_13	messages_13	users_9	messages_9	users_8	messages_8	users_3	messages_3	users_6	messages_6	users_12	messages_12	users_14	messages_14	users_10	messages_10	users_2	messages_2
2015-07-12 00:00:00+00:00	6.0	84.0			3.0	6.0	5.0	6.0	3.0	9.0			6.0	15.0	6.0	25.0	2.0	2.0	5.0	7.0	3.0	4.0	3.0	5.0			2.0	2.0	1.0	1.0	1.0	2.0
2015-07-26 00:00:00+00:00	25.0	1472.0			14.0	92.0	17.0	127.0	22.0	492.0			18.0	236.0	15.0	133.0	8.0	51.0	15.0	54.0	16.0	95.0	11.0	66.0			10.0	34.0	7.0	21.0	6.0	15.0
2015-08-09 00:00:00+00:00	9.0	180.0			17.0	100.0	24.0	143.0	30.0	572.0			23.0	263.0	17.0	135.0	10.0	57.0	20.0	60.0	17.0	96.0	17.0	83.0			12.0	37.0	7.0	21.0	7.0	16.0
2015-08-23 00:00:00+00:00	7.0	86.0			21.0	104.0	26.0	145.0	33.0	597.0			27.0	273.0	21.0	144.0	12.0	60.0	22.0	63.0	21.0	102.0	21.0	91.0			14.0	40.0	7.0	21.0	9.0	18.0
2015-09-06 00:00:00+00:00	9.0	100.0			25.0	109.0	29.0	155.0	38.0	638.0			31.0	291.0	21.0	144.0	15.0	63.0	24.0	68.0	23.0	106.0	24.0	97.0			14.0	40.0	9.0	24.0	9.0	18.0
2015-09-20 00:00:00+00:00	4.0	11.0			26.0	110.0	29.0	155.0	39.0	639.0			32.0	292.0	21.0	144.0	16.0	64.0	26.0	72.0	23.0	106.0	25.0	98.0			14.0	40.0	9.0	24.0	10.0	20.0
2015-10-04 00:00:00+00:00	1.0	1.0			26.0	110.0	29.0	155.0	40.0	640.0			32.0	292.0	21.0	144.0	16.0	64.0	26.0	72.0	23.0	106.0	25.0	98.0			14.0	40.0	9.0	24.0	10.0	20.0
2015-10-18 00:00:00+00:00	12.0	376.0			29.0	121.0	35.0	189.0	51.0	785.0			42.0	370.0	25.0	155.0	20.0	74.0	30.0	80.0	27.0	120.0	31.0	121.0			17.0	44.0	13.0	36.0	13.0	24.0
2015-11-01 00:00:00+00:00	18.0	205.0			34.0	128.0	44.0	208.0	64.0	833.0			57.0	430.0	26.0	156.0	24.0	81.0	35.0	86.0	34.0	127.0	48.0	153.0			18.0	45.0	18.0	41.0	14.0	25.0
2015-11-15 00:00:00+00:00	13.0	30.0			34.0	128.0	47.0	211.0	71.0	845.0			62.0	435.0	26.0	156.0	24.0	81.0	36.0	87.0	36.0	129.0	51.0	156.0			18.0	45.0	18.0	41.0	14.0	25.0
