id	users_total	messages_total	users_8	messages_8	users_8_cm	messages_8_cm	users_3	messages_3	users_3_cm	messages_3_cm	users_4	messages_4	users_4_cm	messages_4_cm	users_0	messages_0	users_0_cm	messages_0_cm	users_1	messages_1	users_1_cm	messages_1_cm	users_2	messages_2	users_2_cm	messages_2_cm	users_6	messages_6	users_6_cm	messages_6_cm	users_9	messages_9	users_9_cm	messages_9_cm	users_7	messages_7	users_7_cm	messages_7_cm	users_5	messages_5	users_5_cm	messages_5_cm
2014-11-30 00:00:00+00:00	7	36	6	24	6	24	3	4	3	4	2	2	2	2	2	3	2	3	2	4	2	4	3	3	3	3	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
2014-12-31 00:00:00+00:00	19	2478	18	2059	23	2083	13	117	16	121	12	106	14	108	10	35	11	38	9	46	11	50	11	26	13	29	10	22	11	24	11	31	13	33	10	36	11	37	0	0	1	1
2015-01-31 00:00:00+00:00	71	6407	70	5200	80	7283	38	295	43	416	27	275	33	383	31	114	35	152	20	153	24	203	25	145	30	174	20	114	24	138	14	57	18	90	13	45	17	82	6	9	7	10
2015-02-28 00:00:00+00:00	81	3810	79	2947	127	10230	45	208	69	624	30	306	49	689	35	95	55	247	23	81	35	284	19	59	38	233	14	45	29	183	19	30	30	120	18	37	26	119	1	2	8	12
2015-03-31 00:00:00+00:00	97	2644	93	1963	178	12193	40	139	89	763	28	228	64	917	32	86	73	333	20	47	45	331	23	63	53	296	27	69	50	252	14	31	34	151	9	16	30	135	2	2	10	14
2015-04-30 00:00:00+00:00	52	509	48	435	204	12628	11	15	95	778	10	20	69	937	8	10	76	343	4	6	47	337	7	16	57	312	1	1	50	253	2	2	34	153	3	4	31	139	0	0	10	14
2015-05-31 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-30 00:00:00+00:00	139	1346	129	973	328	13601	38	69	132	847	15	20	81	957	45	67	121	410	15	25	62	362	15	35	71	347	25	133	75	386	10	18	43	171	3	3	33	142	3	3	12	17
2015-07-31 00:00:00+00:00	1927	26394	1673	18461	1892	32062	613	1404	719	2251	218	561	285	1518	485	1208	582	1618	260	540	312	902	225	498	285	845	440	2303	501	2689	280	427	312	598	76	105	104	247	163	887	172	904
2015-08-31 00:00:00+00:00	2031	43374	1744	24098	3057	56160	766	3407	1318	5658	253	1412	479	2930	570	3377	1035	4995	373	1524	618	2426	385	1907	602	2752	622	4007	1007	6696	286	566	544	1164	103	1313	200	1560	175	1763	299	2667
2015-09-30 00:00:00+00:00	1427	28024	1168	13838	3671	69998	577	2636	1664	8294	191	682	604	3612	428	2689	1313	7684	246	951	778	3377	268	1706	757	4458	388	2366	1255	9062	175	292	658	1456	54	1857	236	3417	109	1007	371	3674
2015-10-31 00:00:00+00:00	1186	35155	973	16921	4175	86919	628	2854	2069	11148	175	761	705	4373	395	2709	1590	10393	277	1009	968	4386	291	1465	949	5923	504	4767	1643	13829	147	489	761	1945	62	2394	284	5811	75	1786	413	5460
2015-11-30 00:00:00+00:00	1645	62567	1353	28160	5076	115079	999	5777	2806	16925	254	978	882	5351	648	5172	2093	15565	428	2452	1289	6838	481	2880	1308	8803	898	9996	2363	23825	199	368	910	2313	106	5770	366	11581	82	1014	460	6474
2015-12-31 00:00:00+00:00	2527	96865	2090	41174	6437	156253	1619	9709	3966	26634	371	1502	1138	6853	926	7300	2790	22865	691	3752	1791	10590	777	4315	1861	13118	1375	15861	3428	39686	295	696	1128	3009	160	10154	489	21735	127	2402	552	8876
2016-01-31 00:00:00+00:00	2307	96692	1929	42302	7436	198555	1500	10327	4841	36961	430	2901	1409	9754	726	5497	3227	28362	787	4095	2310	14685	792	5085	2336	18203	940	10699	3998	50385	285	659	1321	3668	171	10046	612	31781	138	5081	632	13957
