id	users_total	messages_total	users_5	messages_5	users_7	messages_7	users_11	messages_11	users_1	messages_1	users_4	messages_4	users_0	messages_0	users_13	messages_13	users_9	messages_9	users_8	messages_8	users_3	messages_3	users_6	messages_6	users_12	messages_12	users_14	messages_14	users_10	messages_10	users_2	messages_2
2015-07-31 00:00:00+00:00	26	1605	11	103	12	95	12	128	21	520	9	35	14	241	10	133	7	52	12	57	13	95	10	69	5	7	9	34	6	21	6	15
2015-08-31 00:00:00+00:00	15	283	19	123	18	107	21	152	30	623	12	38	22	287	14	144	11	63	16	65	18	104	18	95	5	7	12	40	7	22	8	18
2015-09-30 00:00:00+00:00	7	45	20	124	21	110	23	155	34	639	12	38	25	292	14	144	12	64	19	72	20	106	21	98	5	7	12	40	9	24	9	20
2015-10-31 00:00:00+00:00	19	528	26	142	26	125	31	203	50	822	18	50	42	413	19	156	17	80	25	84	27	124	34	145	6	8	16	45	15	40	12	24
2015-11-30 00:00:00+00:00	18	104	29	146	28	128	39	213	62	854	21	53	53	442	19	156	18	81	28	87	32	129	41	156	6	8	17	46	16	41	13	25
2015-12-31 00:00:00+00:00	15	78	33	150	32	132	46	226	70	872	22	54	63	459	20	158	21	84	30	89	34	131	47	164	7	9	18	47	18	43	13	25
2016-01-31 00:00:00+00:00	95	5071	83	571	73	377	101	587	127	1386	72	330	133	1526	55	305	61	262	68	346	86	511	94	443	39	204	49	183	57	274	53	409
2016-02-29 00:00:00+00:00	190	6551	172	1083	155	661	207	1006	231	1953	157	781	255	2698	120	578	145	599	148	699	176	971	193	949	104	525	123	455	130	597	128	710
2016-03-31 00:00:00+00:00	290	11517	323	1971	286	1197	340	1827	378	3441	275	1352	439	4874	233	1008	271	1146	280	1334	304	1694	338	1809	187	926	218	903	227	1056	239	1244
2016-04-30 00:00:00+00:00	277	7363	440	2533	381	1607	456	2316	497	3988	369	1769	605	6256	305	1282	369	1503	378	1761	425	2218	450	2303	268	1257	309	1247	323	1562	314	1543
2016-05-31 00:00:00+00:00	356	15144	591	3532	515	2459	613	3489	660	5260	478	2351	838	9156	432	3033	485	2109	506	2609	581	3318	598	3265	353	1576	423	1874	431	2065	422	2193
2016-06-30 00:00:00+00:00	331	7525	717	4096	649	2943	726	3997	789	5762	561	2678	1023	10549	521	3567	577	2432	613	3007	694	3798	720	3755	427	1973	529	2194	530	2498	506	2565
2016-07-31 00:00:00+00:00	264	7411	829	4632	739	3321	828	4477	904	6257	648	3068	1189	11963	605	3958	668	2813	719	3436	801	4228	827	4329	502	2408	612	2512	607	2871	587	2952
2016-08-31 00:00:00+00:00	209	5413	923	5113	815	3686	926	4844	996	6656	721	3336	1315	12871	660	4157	733	3060	794	3774	904	4649	914	4726	560	2634	687	2810	674	3111	645	3211
2016-09-30 00:00:00+00:00	195	6858	1016	5703	908	4131	1017	5259	1084	7055	803	3970	1436	14129	717	4435	802	3298	863	4173	992	5149	999	5149	627	2937	754	3169	733	3422	710	3517
2016-10-31 00:00:00+00:00	187	4850	1096	6114	974	4376	1086	5622	1157	7346	858	4241	1552	15118	756	4569	854	3482	925	4395	1065	5513	1070	5504	677	3163	809	3427	787	3718	762	3758
2016-11-30 00:00:00+00:00	179	4765	1174	6523	1039	4626	1148	5951	1223	7585	928	4647	1651	15963	799	4742	897	3678	983	4636	1139	5873	1132	5847	723	3381	859	3696	840	3991	815	3972
2016-12-31 00:00:00+00:00	144	4186	1249	6891	1093	4926	1205	6238	1272	7824	986	5070	1737	16646	844	4930	940	3824	1042	4886	1201	6120	1181	6102	761	3559	915	3945	883	4191	863	4145
