id	users_total	messages_total	users_8	messages_8	users_8_cm	messages_8_cm	users_3	messages_3	users_3_cm	messages_3_cm	users_4	messages_4	users_4_cm	messages_4_cm	users_0	messages_0	users_0_cm	messages_0_cm	users_1	messages_1	users_1_cm	messages_1_cm	users_2	messages_2	users_2_cm	messages_2_cm	users_6	messages_6	users_6_cm	messages_6_cm	users_9	messages_9	users_9_cm	messages_9_cm	users_7	messages_7	users_7_cm	messages_7_cm	users_5	messages_5	users_5_cm	messages_5_cm
2014-11-30 00:00:00+00:00	7	36	6	24	6	24	3	4	3	4	2	2	2	2	2	3	2	3	2	4	2	4	3	3	3	3	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
2015-02-28 00:00:00+00:00	126	12695	123	10206	127	10230	66	620	69	624	47	687	49	689	54	244	55	247	33	280	35	284	36	230	38	233	28	181	29	183	28	118	30	120	25	118	26	119	7	11	8	12
2015-05-31 00:00:00+00:00	125	3153	120	2398	204	12628	48	154	95	778	33	248	69	937	36	96	76	343	22	53	47	337	29	79	57	312	27	70	50	253	15	33	34	153	10	20	31	139	2	2	10	14
2015-08-31 00:00:00+00:00	3325	71114	2905	43532	3057	56160	1244	4880	1318	5658	423	1993	479	2930	970	4652	1035	4995	580	2089	618	2426	557	2440	602	2752	963	6443	1007	6696	521	1011	544	1164	175	1421	200	1560	294	2653	299	2667
2015-11-30 00:00:00+00:00	3351	125746	2773	58919	5076	115079	1820	11267	2806	16925	508	2421	882	5351	1258	10570	2093	15565	797	4412	1289	6838	857	6051	1308	8803	1554	17129	2363	23825	454	1149	910	2313	196	10021	366	11581	213	3807	460	6474
2016-02-29 00:00:00+00:00	5663	259257	4592	112487	8637	227566	3920	30465	6062	47390	958	6908	1661	12259	1692	14427	3438	29992	1947	12642	2947	19480	1761	13742	2736	22545	2309	27984	4237	51809	677	1903	1461	4216	388	27831	699	39412	325	10868	710	17342
2016-05-31 00:00:00+00:00	7223	261843	5751	124853	12991	352419	5296	38742	10256	86132	1211	11295	2589	23554	1012	6441	4196	36433	2769	19024	5225	38504	1887	16216	4159	38761	1118	4809	5055	56618	613	1632	1927	5848	379	28830	1010	68242	305	10001	937	27343
2016-08-31 00:00:00+00:00	6693	166886	4981	76888	16483	429307	3553	22860	12690	108992	1451	8789	3714	32343	895	3501	4822	39934	2524	14090	7235	52594	1705	12053	5369	50814	1126	4789	5884	61407	540	1214	2318	7062	348	15497	1287	83739	329	7205	1186	34548
2016-11-30 00:00:00+00:00	7126	133075	4866	57025	20086	486332	3151	15745	14951	124737	1613	9782	4998	42125	902	3209	5485	43143	2649	13110	9397	65704	1606	8994	6584	59808	1178	5798	6824	67205	533	1247	2728	8309	389	10140	1606	93879	366	8025	1480	42573
2017-02-28 00:00:00+00:00	1929	29623	1336	12627	20849	498959	876	3908	15454	128645	372	2273	5203	44398	205	521	5601	43664	629	2827	9833	68531	432	2089	6818	61897	268	922	6981	68127	111	189	2802	8498	65	2642	1646	96521	94	1625	1546	44198
