id	users_total	messages_total	users_8	messages_8	users_8_cm	messages_8_cm	users_3	messages_3	users_3_cm	messages_3_cm	users_4	messages_4	users_4_cm	messages_4_cm	users_0	messages_0	users_0_cm	messages_0_cm	users_1	messages_1	users_1_cm	messages_1_cm	users_2	messages_2	users_2_cm	messages_2_cm	users_6	messages_6	users_6_cm	messages_6_cm	users_9	messages_9	users_9_cm	messages_9_cm	users_7	messages_7	users_7_cm	messages_7_cm	users_5	messages_5	users_5_cm	messages_5_cm
2014-11-23 00:00:00+00:00	4	17	4	13	4	13	3	4	3	4	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2014-11-30 00:00:00+00:00	3	19	2	11	6	24	0	0	3	4	0	0	2	2	1	1	2	3	1	3	2	4	2	2	3	3	1	1	2	2	1	1	2	2	0	0	1	1	0	0	1	1
2014-12-07 00:00:00+00:00	5	7	4	4	9	28	0	0	3	4	1	1	3	3	1	1	3	4	0	0	2	4	0	0	3	3	1	1	3	3	0	0	2	2	0	0	1	1	0	0	1	1
2014-12-14 00:00:00+00:00	13	1024	13	867	20	895	10	46	13	50	9	32	12	35	5	13	7	17	7	22	9	26	6	8	9	11	6	13	8	16	7	14	9	16	4	9	5	10	0	0	1	1
2014-12-21 00:00:00+00:00	11	299	11	261	22	1156	8	17	15	67	5	7	12	42	2	2	9	19	4	4	10	30	2	3	10	14	1	1	8	17	1	1	10	17	1	3	6	13	0	0	1	1
2014-12-28 00:00:00+00:00	11	431	11	345	22	1501	10	21	15	88	8	15	13	57	6	7	11	26	5	6	11	36	5	7	12	21	3	3	10	20	5	7	12	24	7	20	10	33	0	0	1	1
2015-01-04 00:00:00+00:00	20	995	20	823	29	2324	13	50	19	138	10	54	17	111	7	17	13	43	6	15	11	51	8	12	15	33	4	8	11	28	5	9	13	33	5	6	12	39	1	1	2	2
2015-01-11 00:00:00+00:00	28	1191	28	993	44	3317	13	41	25	179	12	49	22	160	11	23	20	66	10	20	15	71	11	22	21	55	4	14	14	42	9	21	15	54	4	5	13	44	3	3	5	5
2015-01-18 00:00:00+00:00	40	2497	38	2045	63	5362	23	106	33	285	18	121	28	281	15	34	27	100	17	56	23	127	14	49	26	104	14	41	22	83	11	21	17	75	8	19	16	63	5	5	7	10
2015-01-25 00:00:00+00:00	33	1279	33	1003	71	6365	16	54	36	339	15	59	31	340	13	27	32	127	12	35	24	162	12	48	30	152	10	36	23	119	4	7	17	82	5	10	16	73	0	0	7	10
2015-02-01 00:00:00+00:00	35	1324	35	1047	81	7412	21	86	44	425	8	46	33	386	12	29	35	156	8	46	24	208	8	24	30	176	6	27	24	146	4	8	18	90	7	11	17	84	0	0	7	10
2015-02-08 00:00:00+00:00	38	1293	38	944	93	8356	20	59	48	484	12	185	34	571	12	18	38	174	7	17	25	225	12	30	33	206	6	19	24	165	8	9	21	99	7	12	18	96	0	0	7	10
2015-02-15 00:00:00+00:00	30	868	29	756	98	9112	11	25	51	509	12	33	37	604	7	11	40	185	5	7	25	232	5	15	33	221	4	10	24	175	4	6	21	105	4	5	18	101	0	0	7	10
2015-02-22 00:00:00+00:00	36	227	35	172	110	9284	8	12	53	521	6	9	40	613	10	13	45	198	4	9	27	241	2	4	34	225	1	1	25	176	1	1	21	106	6	6	21	107	0	0	7	10
2015-03-01 00:00:00+00:00	48	1641	46	1234	133	10518	24	128	72	649	14	101	51	714	19	68	56	266	13	47	35	288	11	14	41	239	7	9	29	185	11	24	31	130	5	14	26	121	1	2	8	12
2015-03-08 00:00:00+00:00	53	1124	52	837	146	11355	23	48	78	697	14	87	55	801	17	38	62	304	13	27	39	315	8	27	44	266	16	34	40	219	9	16	33	146	5	9	29	130	1	1	9	13
2015-03-15 00:00:00+00:00	45	630	44	457	160	11812	17	39	86	736	13	62	61	863	12	15	66	319	6	8	44	323	9	15	50	281	10	28	48	247	3	4	34	150	1	1	29	131	1	1	10	14
2015-03-22 00:00:00+00:00	33	141	32	108	171	11920	7	7	89	743	7	9	64	872	9	10	72	329	1	1	44	324	1	1	51	282	3	3	49	250	1	1	34	151	1	1	30	132	0	0	10	14
2015-03-29 00:00:00+00:00	20	365	18	270	178	12190	6	20	89	763	4	45	64	917	3	4	73	333	6	7	45	331	4	14	53	296	2	2	50	252	0	0	34	151	3	3	30	135	0	0	10	14
2015-04-05 00:00:00+00:00	26	107	24	88	193	12278	5	6	93	769	4	7	66	924	2	2	75	335	0	0	45	331	1	1	54	297	0	0	50	252	0	0	34	151	2	3	31	138	0	0	10	14
2015-04-12 00:00:00+00:00	32	397	28	345	203	12623	6	9	95	778	7	13	69	937	5	5	76	340	4	6	47	337	6	15	57	312	1	1	50	253	2	2	34	153	1	1	31	139	0	0	10	14
2015-04-19 00:00:00+00:00	3	4	2	3	204	12626	0	0	95	778	0	0	69	937	1	1	76	341	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-04-26 00:00:00+00:00	4	4	2	2	204	12628	0	0	95	778	0	0	69	937	2	2	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-03 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-10 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-17 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-24 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-05-31 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-07 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-14 00:00:00+00:00	0	0	0	0	204	12628	0	0	95	778	0	0	69	937	0	0	76	343	0	0	47	337	0	0	57	312	0	0	50	253	0	0	34	153	0	0	31	139	0	0	10	14
2015-06-21 00:00:00+00:00	28	162	24	129	225	12757	3	6	98	784	2	2	71	939	6	7	82	350	1	1	48	338	4	5	61	317	5	6	55	259	5	6	38	159	0	0	31	139	0	0	10	14
2015-06-28 00:00:00+00:00	100	794	90	531	301	13288	31	50	127	834	8	10	79	949	31	43	111	393	10	18	58	356	9	23	68	340	17	104	69	363	6	11	42	170	1	1	32	140	3	3	12	17
2015-07-05 00:00:00+00:00	317	2227	257	1630	509	14918	62	103	179	937	29	93	101	1042	62	95	166	488	23	52	78	408	18	27	82	367	41	90	104	453	30	34	67	204	11	12	42	152	27	91	38	108
2015-07-12 00:00:00+00:00	535	4561	461	3401	852	18319	135	203	293	1140	46	90	140	1132	103	189	247	677	49	80	123	488	45	70	122	437	84	245	176	698	56	73	118	277	13	15	52	167	32	195	65	303
2015-07-19 00:00:00+00:00	678	6243	582	4446	1242	22765	178	328	432	1468	54	83	176	1215	154	318	359	995	63	106	177	594	64	119	178	556	126	448	280	1146	82	100	187	377	23	30	71	197	49	265	102	568
2015-07-26 00:00:00+00:00	817	7288	700	5116	1629	27881	228	395	591	1863	72	103	233	1318	194	365	500	1360	87	160	249	754	63	101	220	657	160	731	389	1877	98	132	265	509	15	23	81	220	60	162	144	730
2015-08-02 00:00:00+00:00	821	9763	718	6115	1985	33996	260	593	768	2456	93	320	305	1638	190	573	619	1933	110	217	339	971	112	316	312	973	229	1209	544	3086	99	152	339	661	37	50	114	270	60	218	183	948
2015-08-09 00:00:00+00:00	773	11213	671	7008	2281	41004	261	719	926	3175	89	403	352	2041	201	770	733	2703	122	300	418	1271	138	367	401	1340	225	1189	680	4275	94	132	403	793	34	57	142	327	62	268	218	1216
2015-08-16 00:00:00+00:00	721	8430	597	4620	2559	45624	233	521	1040	3696	81	288	397	2329	201	991	849	3694	90	169	474	1440	100	328	453	1668	207	951	787	5226	66	113	441	906	22	79	158	406	64	370	248	1586
2015-08-23 00:00:00+00:00	727	9516	612	5104	2798	50728	253	874	1176	4570	79	294	437	2623	150	548	932	4242	132	450	551	1890	114	357	519	2025	143	655	868	5881	90	148	499	1054	24	483	176	889	63	603	275	2189
